intensity,readability,perplexity,lex_diversity
1,-21.307720664589795,322.296875,0.6844444444444444
2,-47.06189956331875,425.7482604980469,0.7130801687763713
3,-22.755303571428556,170.71957397460938,0.6192468619246861
4,-7.655387313650948,18.36504364013672,0.5056818181818182
5,-52.989828254847595,1009.54443359375,0.651595744680851
1,-53.39117865429233,683.0720825195312,0.5067873303167421
2,-6.059014336917528,357.0234375,0.6426426426426426
3,-7.36259549071616,272.3526306152344,0.6574307304785895
4,-10.788207617625062,633.541748046875,0.6318785578747628
5,18.841683206106893,46.7517204284668,0.4376470588235294
1,-38.15816065781152,187.91551208496094,0.43137254901960786
2,-13.863857296137326,328.7078552246094,0.44801512287334594
3,13.322762056596275,199.82717895507812,0.3895705521472393
4,9.970357142857182,71.24969482421875,0.5459317585301837
5,-90.80239492938571,559.1865844726562,0.23002240477968633
1,-46.09919683257915,662.4644775390625,0.29654403567447046
2,24.68388303477346,393.91693115234375,0.5838779956427015
3,4.766434044882317,450.4704284667969,0.5981087470449172
4,25.238849024984802,523.1721801757812,0.49119718309859156
5,2.309423994038781,459.7945556640625,0.3988439306358382
1,30.487755102040836,140.68719482421875,0.5352564102564102
2,-4.052552614449979,342.6857604980469,0.3275462962962963
3,1.340806451612906,62.27317428588867,0.5445544554455446
4,-1.4475963759104502,141.3663787841797,0.6047008547008547
5,40.19014819779565,29.173818588256836,0.4735576923076923
1,-33.97341501081024,461.3655090332031,0.33260153677277715
2,-3.14076675849401,226.5684356689453,0.5651340996168582
3,16.1202857142857,185.27334594726562,0.6864406779661016
4,-13.306587826841707,363.5148620605469,0.5230978260869565
5,8.419421052631606,125.06332397460938,0.5476190476190477
1,-12.077963039867115,395.5308837890625,0.7484472049689441
2,-32.051835443037945,505.8442077636719,0.5147744945567652
3,13.74066176470592,263.71466064453125,0.5778688524590164
4,29.23795546558705,20.690670013427734,0.5291005291005291
5,7.7888461538461655,611.3574829101562,0.6348314606741573
1,-27.286905503634472,599.9345092773438,0.6148282097649186
2,4.23504158004161,35.79386901855469,0.56656346749226
3,-17.393636363636347,226.04690551757812,0.6656050955414012
4,-57.953834080717456,447.67279052734375,0.6473118279569893
5,-103.67643835616437,626.1676025390625,0.4857142857142857
1,-57.701887613082775,446.7915954589844,0.6626016260162602
2,7.126714550509774,255.49366760253906,0.6912181303116147
3,-50.126874999999984,376.2432556152344,0.6590909090909091
4,-69.72524563732927,884.719970703125,0.45722713864306785
5,-16.414052287581683,354.5876159667969,0.6853658536585366
1,-73.1590767386091,684.1657104492188,0.5978835978835979
2,-78.14124999999997,833.2150268554688,0.3056234718826406
3,-59.55833892617443,761.3319091796875,0.6572052401746725
4,-107.12041666666666,1000.2376098632812,0.6868932038834952
5,-22.76133614627284,691.5267333984375,0.7263922518159807
1,-185.60883976041453,858.136474609375,0.29330943847072877
2,-49.718684210526305,841.9238891601562,0.6346153846153846
3,-53.95321678321673,265.6820068359375,0.6410835214446953
4,-111.5712530413625,911.0507202148438,0.8
5,-107.12385385756676,691.56298828125,0.750733137829912
1,30.04196144009444,408.5057678222656,0.6100478468899522
2,-55.153819218241,724.0999755859375,0.22614107883817428
3,3.27859683794469,101.94082641601562,0.6274509803921569
4,8.79097790585979,34.39268493652344,0.5335051546391752
5,-75.22518326693223,621.6832885742188,0.6470588235294118
1,-25.73735849056601,736.2713623046875,0.7602040816326531
2,-1.9417307692307304,327.8770751953125,0.6255813953488372
3,-22.8779720097357,381.220703125,0.4636118598382749
4,-3.885941176470567,654.0438232421875,0.5308056872037915
5,21.793888888888915,529.0484619140625,0.7238372093023255
1,-46.982745098039175,675.95703125,0.5794979079497908
2,-22.029999999999973,528.731201171875,0.37290167865707435
3,-45.8569248826291,609.1378173828125,0.7040816326530612
4,-29.68499025487256,600.8027954101562,0.4948604992657856
5,-63.01542480757843,661.531005859375,0.5763293310463122
1,40.06620481927712,9.8252534866333,0.48501362397820164
2,-63.62721183800619,418.46588134765625,0.5265486725663717
3,-24.663810011709558,388.76220703125,0.5653153153153153
4,-28.74097560975605,278.28662109375,0.6332378223495702
5,-42.183076923076925,444.0680236816406,0.8021680216802168
1,23.85035046728973,91.35302734375,0.6507042253521127
2,36.75248383122886,39.43721008300781,0.571753986332574
3,-27.964600271002666,589.5062866210938,0.515695067264574
4,-16.878032731376948,253.77232360839844,0.5930735930735931
5,47.13045018007202,12.666699409484863,0.4843304843304843
1,-16.27361133603236,438.7952880859375,0.5828571428571429
2,-38.794318181818156,282.687744140625,0.16751269035532995
3,-25.192667491238893,612.7066650390625,0.5866425992779783
4,8.856250000000017,120.261962890625,0.6318840579710145
5,-62.98828470380194,551.2740478515625,0.4897435897435897
1,8.92352442969019,644.1571655273438,0.3038728897715988
2,-54.09509952229294,885.3319091796875,0.6632443531827515
3,-2.4716873449131356,732.4108276367188,0.16617112652791544
4,-15.355824524312865,790.548583984375,0.373015873015873
5,3.6136609336609524,439.58502197265625,0.6605080831408776
1,-40.958427152317824,657.979248046875,0.4459893048128342
2,21.640731707317116,620.3477783203125,0.4321705426356589
3,-58.121520675855905,831.7371215820312,0.23926767676767677
4,22.182406976744204,58.432655334472656,0.5330188679245284
5,-11.181639344262265,804.2681884765625,0.5470692717584369
1,-11.224343434343439,437.7668762207031,0.6146572104018913
2,-133.05521439022203,522.36279296875,0.08926657479712143
3,-116.31499999999998,850.5048217773438,0.20905739863085834
4,-4.243719217238322,141.83631896972656,0.6014319809069213
5,-22.360495929774515,464.3304138183594,0.2445993031358885
1,16.77200000000002,48.433929443359375,0.5988023952095808
2,-4.781390374331522,399.4684143066406,0.6861826697892272
3,-45.34126582278478,472.31097412109375,0.6992665036674817
4,3.2344845857418534,39.16316223144531,0.5869017632241813
5,-25.44952396657871,84.34259033203125,0.6511627906976745
1,30.00620553359687,209.11753845214844,0.7246376811594203
2,-10.400961538461502,351.7765197753906,0.6369230769230769
3,-9.27311320754714,530.7345581054688,0.6588235294117647
4,15.899558823529446,253.06263732910156,0.6757575757575758
5,-58.960558256798095,766.7511596679688,0.6807228915662651
1,-4.665480093676791,398.5431823730469,0.6367713004484304
2,41.72678571428574,15.081891059875488,0.4837837837837838
3,0.24839285714290327,99.61109161376953,0.6532951289398281
4,-70.95749246987947,635.5314331054688,0.5592105263157895
5,-5.021111111111111,383.3721008300781,0.6483739837398373
1,55.63047742192164,203.92677307128906,0.4407484407484408
2,17.293431424067307,130.86721801757812,0.5244122965641953
3,-19.417099041533504,551.4144287109375,0.40515463917525774
4,-7.661601346001561,371.6297912597656,0.5863636363636363
5,-20.688214285714253,770.4160766601562,0.6529680365296804
1,-13.775000000000006,730.1773681640625,0.6107660455486542
2,31.3926315789474,43.128753662109375,0.5703125
3,28.84421037789062,609.671875,0.6289156626506024
4,-73.49195121951217,630.4122314453125,0.351
5,-17.59835443037973,596.064208984375,0.388755980861244
1,64.01655555555557,9.595832824707031,0.4393530997304582
2,55.54155036407769,9.747995376586914,0.4730878186968839
3,-4.597980625931399,409.4560852050781,0.468503937007874
4,-15.063871479942037,427.83160400390625,0.2768166089965398
5,23.78680232558142,58.660545349121094,0.5458823529411765
1,58.69772405660379,10.901530265808105,0.4932249322493225
2,62.64630362776029,10.13923168182373,0.4326424870466321
3,12.812583732057448,214.92320251464844,0.5636743215031316
4,11.253475609756123,547.4058837890625,0.4638364779874214
5,-63.98235632183905,663.1588134765625,0.6459731543624161
1,2.9465229885057624,267.20025634765625,0.6254980079681275
2,-13.146894685039342,446.3708190917969,0.6025
3,11.197815594059449,334.0205383300781,0.6417445482866043
4,-52.94861111111109,574.7064819335938,0.6411483253588517
5,-9.455921692606978,274.1096496582031,0.7174721189591078
1,-89.22358649789025,566.8374633789062,0.4799382716049383
2,-19.096378751889432,477.87384033203125,0.6644295302013423
3,-40.64681291390727,493.080810546875,0.690677966101695
4,-58.833114161849664,432.0812072753906,0.7583333333333333
5,-80.47922399672396,526.10107421875,0.702576112412178
1,10.511143410852725,169.2373046875,0.5944206008583691
2,-7.416007462686565,385.102783203125,0.7166666666666667
3,-15.40203499999997,623.1925048828125,0.5356037151702786
4,-14.460535477453561,386.90142822265625,0.649746192893401
5,-39.1928874734607,351.2904052734375,0.7349397590361446
1,53.72800077639752,9.819106101989746,0.4734042553191489
2,54.92147389558235,12.454693794250488,0.4304461942257218
3,33.535154015401545,188.86961364746094,0.5697674418604651
4,-42.49773584905657,425.42559814453125,0.7575757575757576
5,-0.9794444444444252,518.0474243164062,0.5304518664047151
1,9.622067081499495,479.0723571777344,0.4546925566343042
2,11.054587322548713,147.0254669189453,0.5808383233532934
3,53.765140449438235,18.376062393188477,0.5480769230769231
4,-4.898017515923584,218.22811889648438,0.6832844574780058
5,11.303270712909494,65.04053497314453,0.5789473684210527
1,0.005467032967061414,241.3469696044922,0.6008230452674898
2,14.992600422832993,278.75067138671875,0.6395663956639567
3,-31.4181829470198,553.4266357421875,0.6645435244161358
4,-0.7123684210526164,225.6216583251953,0.6642335766423357
5,-0.7542148760330463,168.12522888183594,0.6820512820512821
1,15.455594405594411,156.96437072753906,0.66189111747851
2,-25.067683933484858,825.461669921875,0.6048265460030166
3,5.130270810614348,807.5319213867188,0.3236870310825295
4,-11.08511904761906,184.6850128173828,0.6620111731843575
5,-73.36905704488774,474.5187072753906,0.6522781774580336
1,50.388192365269475,10.072985649108887,0.45595854922279794
2,-2.3910640495867312,153.9674530029297,0.6742424242424242
3,16.457183908046005,124.35716247558594,0.5092879256965944
4,36.71873909595561,11.190044403076172,0.5102040816326531
5,32.230627906976764,93.30559539794922,0.6058201058201058
1,-53.02385851299283,548.6832885742188,0.3568281938325991
2,-13.709999999999951,332.0828857421875,0.6555269922879178
3,-12.599999999999966,322.8067321777344,0.6415584415584416
4,-56.1276170798898,612.53076171875,0.6513026052104208
5,36.78143589743593,46.6701545715332,0.5643044619422573
1,4.7092892156863115,525.7725830078125,0.6247422680412371
2,-86.21235294117646,726.5992431640625,0.5492154065620543
3,-3.9061063355619297,471.35858154296875,0.6937669376693767
4,-47.7486714589989,671.4028930664062,0.739938080495356
5,-15.684545454545429,928.2579345703125,0.739413680781759
1,-18.51241113744075,335.6686096191406,0.6482300884955752
2,-20.65038461538458,762.8177490234375,0.7047146401985112
3,-35.39733498349834,726.30517578125,0.5193050193050193
4,-81.0909634851771,652.2489624023438,0.673728813559322
5,13.84525497512439,51.08134841918945,0.5368421052631579
1,42.66202830188681,29.99343490600586,0.4140127388535032
2,51.29456232144335,95.1749267578125,0.4609739826551034
3,38.258135593220345,51.3224983215332,0.4470588235294118
