intensity,readability,perplexity,lex_diversity,word_count,bleu
1,-40.57,704.1159057617188,0.6287015945330297,439,
2,-178.04,1033.750732421875,0.4283625730994152,684,
3,-155.27,1248.7127685546875,0.5325,400,
4,-53.87,876.1597900390625,0.656140350877193,570,
5,-27.07,842.4970092773438,0.779783393501805,277,
1,-12.89,152.78500366210938,0.7133333333333334,300,
2,5.26,156.89724731445312,0.6641025641025641,390,
3,-23.72,387.129150390625,0.453551912568306,732,
4,0.42,384.9205017089844,0.6470588235294118,272,
5,-42.56,602.559814453125,0.6923076923076923,442,
1,-96.33,478.9535827636719,0.6122448979591837,392,
2,-77.59,687.6463012695312,0.6579634464751958,383,
3,-58.57,702.938720703125,0.5817694369973191,373,
4,-51.5,758.524658203125,0.6345029239766082,342,
5,-92.04,622.5889892578125,0.5259391771019678,559,
1,26.98,263.8498840332031,0.6157112526539278,471,
2,47.22,10.890904426574707,0.4738292011019284,363,
3,5.19,223.5128936767578,0.6082191780821918,365,
4,19.23,235.4936065673828,0.6445993031358885,287,
5,-15.26,294.0674743652344,0.6309523809523809,420,
1,20.08,117.79419708251953,0.5964912280701754,513,
2,-7.97,470.68524169921875,0.26519916142557654,954,
3,-9.44,381.0514831542969,0.5913200723327305,553,
4,14.77,177.04441833496094,0.6601671309192201,359,
5,48.13,28.0377254486084,0.6045197740112994,354,
1,15.41,422.8173522949219,0.6609808102345416,469,
2,12.16,509.8208312988281,0.6834733893557423,357,
3,-4.46,569.6429443359375,0.6533333333333333,300,
4,-43.33,542.6851196289062,0.43468715697036225,911,
5,-24.76,649.7689819335938,0.5938242280285035,421,
1,-59.17,610.705078125,0.2337118947997609,1673,
2,16.93,276.4578552246094,0.6318082788671024,459,
3,-25.01,647.1046142578125,0.7310513447432763,409,
4,-24.83,602.18212890625,0.7484472049689441,322,
5,-13.26,295.4255676269531,0.639686684073107,383,
1,6.78,307.8892517089844,0.6911392405063291,395,
2,14.64,398.12646484375,0.6842105263157895,399,
3,-9.19,573.0987548828125,0.6165413533834586,532,
4,24.01,581.3120727539062,0.6626506024096386,498,
5,-653.24,620.615234375,0.3621621621621622,740,
1,26.2,23.23362922668457,0.5992779783393501,277,
2,-5.18,34.86336898803711,0.5968992248062015,258,
3,-49.74,546.6893310546875,0.5182829888712241,629,
4,-10.46,195.22230529785156,0.6753623188405797,345,
5,-23.11,233.41297912597656,0.6925675675675675,296,
1,9.05,199.1924591064453,0.7516778523489933,298,
2,12.87,417.8288269042969,0.7004950495049505,404,
3,-15.15,1134.184326171875,0.588126159554731,539,
4,-2.81,400.7143859863281,0.7854889589905363,317,
5,28.4,879.37255859375,0.7354651162790697,344,
1,-20.74,360.79278564453125,0.7969543147208121,197,
