intensity,readability,perplexity,lex_diversity,word_count,bleu
1,-0.1,11.257819175720215,0.5208333333333334,336,
2,-21.76,28.393613815307617,0.6,380,
3,-16.31,372.2684631347656,0.7601476014760148,271,
4,-79.78,440.7257385253906,0.8083989501312336,381,
5,-115.17,585.92529296875,0.4380305602716469,589,
1,-20.74,390.6671447753906,0.35050071530758226,699,
2,29.08,9.271997451782227,0.40236686390532544,338,
3,-29.98,228.56875610351562,0.5738758029978587,467,
4,-7.31,82.40081787109375,0.5963060686015831,379,
5,-61.18,450.5067443847656,0.7058823529411765,357,
1,14.8,348.6449279785156,0.37951105937136204,859,
2,11.83,518.083740234375,0.2952243125904486,1382,
3,32.83,17.279922485351562,0.489247311827957,372,
4,-4.9,296.1893615722656,0.6233766233766234,385,
5,-84.82,1242.5089111328125,0.7863501483679525,337,
1,-4.5,84.14338684082031,0.5043290043290043,462,
2,-15.22,569.2454223632812,0.38688946015424164,778,
3,34.8,32.556339263916016,0.49130434782608695,460,
4,-40.64,391.4165344238281,0.5070866141732283,635,
5,-32.92,392.4614562988281,0.6666666666666666,369,
1,28.34,110.66732788085938,0.49013657056145676,659,
2,-9.4,261.6775207519531,0.7270588235294118,425,
3,30.43,101.16545867919922,0.6069868995633187,458,
4,55.68,15.355192184448242,0.5319767441860465,344,
5,-49.77,424.7500305175781,0.7520325203252033,492,
1,-52.63,565.5623168945312,0.2038735983690112,1962,
2,-122.71,734.4486694335938,0.5230460921843687,499,
3,20.15,67.42948913574219,0.46454767726161367,409,
4,-15.26,900.0692138671875,0.5694822888283378,367,
5,-94.63,874.607421875,0.7246835443037974,316,
1,-5.3,499.6425476074219,0.3561643835616438,1022,
2,-49.05,481.3872375488281,0.20503376304481277,1629,
3,39.57,33.922916412353516,0.6611842105263158,304,
4,-75.13,248.71717834472656,0.04760714731975509,8003,
5,48.2,393.23529052734375,0.5785123966942148,484,
1,-29.44,386.25018310546875,0.6053811659192825,446,
2,12.67,45.8203125,0.6176470588235294,272,
3,-31.64,159.38427734375,0.6062322946175638,353,
4,-95.86,713.6914672851562,0.5294117647058824,663,
5,-116.19,868.2709350585938,0.6055646481178396,611,
1,35.1,33.54090118408203,0.592797783933518,361,
2,1.4,43.9883918762207,0.5753424657534246,511,
3,13.99,451.68267822265625,0.6178489702517163,437,
4,-74.5,839.3124389648438,0.43160377358490565,848,
5,4.41,59.667701721191406,0.5476190476190477,420,
1,20.82,12.430157661437988,0.49303621169916434,359,
2,8.91,24.00271224975586,0.558641975308642,324,
3,21.02,69.99211120605469,0.7102272727272727,176,
4,0.12,126.6725845336914,0.6618705035971223,417,
5,-75.38,621.2618408203125,0.6708542713567839,398,
1,16.46,195.73683166503906,0.6676923076923077,325,
2,-59.55,713.454345703125,0.4593908629441624,788,
3,38.86,33.5191650390625,0.5501730103806228,289,
4,-60.94,852.8899536132812,0.4470046082949309,1085,
5,-63.44,709.5797729492188,0.6867469879518072,581,
1,-46.02,302.1157531738281,0.6996587030716723,293,
2,-51.63,697.380615234375,0.5591133004926109,406,
3,2.52,150.43235778808594,0.6885245901639344,244,
4,7.87,826.0771484375,0.5594594594594594,370,
5,9.48,63.373931884765625,0.6716417910447762,335,
1,31.11,37.7977409362793,0.5135135135135135,370,
2,12.46,153.82809448242188,0.6039603960396039,303,
3,-21.04,274.20013427734375,0.5836909871244635,466,
4,-11.17,221.74168395996094,0.7692307692307693,221,
5,-60.33,286.7870788574219,0.7719298245614035,285,
