intensity,readability,perplexity,lex_diversity,word_count,bleu
1,-3.35,262.7510681152344,0.5274725274725275,637,
2,6.58,359.6427917480469,0.49411764705882355,680,
3,-2.57,102.1643295288086,0.6614420062695925,319,
4,-63.2,398.8412780761719,0.6188340807174888,669,
5,-87.89,948.5388793945312,0.27098976109215017,1465,
1,22.28,157.16897583007812,0.5905511811023622,381,
2,7.69,108.83123016357422,0.6149870801033591,387,
3,47.16,307.738525390625,0.3745928338762215,921,
4,-88.51,707.74560546875,0.2779973649538867,1518,
5,39.16,10.433751106262207,0.5026041666666666,384,
1,34.37,226.9272918701172,0.039514535704205475,7086,
2,-14.21,348.3997802734375,0.4875,480,
3,-9.61,271.1402893066406,0.4699074074074074,432,
4,-3.48,217.86380004882812,0.5898203592814372,334,
5,-12.25,315.2488098144531,0.60381861575179,419,
1,1.3,293.5337219238281,0.6764705882352942,306,
2,7.08,257.4767761230469,0.6983695652173914,368,
3,33.24,39.829715728759766,0.5869565217391305,322,
4,19.88,448.4990234375,0.4568345323741007,556,
5,-18.68,520.9580688476562,0.807570977917981,317,
1,41.7,27.187849044799805,0.5328185328185329,259,
2,27.05,94.22601318359375,0.6081081081081081,444,
3,-54.5,522.987060546875,0.13065134099616857,2610,
4,19.37,283.0901184082031,0.5145833333333333,480,
5,-8.62,306.804443359375,0.31125131440588855,951,
1,51.18,19.76959991455078,0.5560859188544153,419,
2,19.07,219.74221801757812,0.6582914572864321,398,
3,-41.64,279.09844970703125,0.22535211267605634,1420,
4,21.2,266.67584228515625,0.6356382978723404,376,
5,34.94,193.1942596435547,0.5192307692307693,624,
1,9.83,539.9629516601562,0.5828092243186582,477,
2,2.45,373.892333984375,0.6325581395348837,430,
3,12.33,524.37646484375,0.5105820105820106,378,
4,34.39,49.52853775024414,0.6140350877192983,285,
5,-141.68,643.9317626953125,0.2165087956698241,1478,
1,-35.6,481.1292724609375,0.7321937321937322,351,
2,-45.53,576.3390502929688,0.5090543259557344,497,
3,25.93,28.724472045898438,0.5709677419354838,310,
4,-109.81,599.0338134765625,0.07699052963872326,5702,
5,-127.42,962.7340698242188,0.2981366459627329,1127,
1,46.71,49.232383728027344,0.5862068965517241,377,
2,48.4,366.7842102050781,0.5821727019498607,359,
3,40.72,49.51137161254883,0.6119402985074627,335,
4,-3.75,608.9052124023438,0.5373134328358209,670,
5,-38.16,704.3176879882812,0.5940298507462687,670,
1,-24.12,362.9696044921875,0.5665399239543726,526,
2,-39.32,321.6295166015625,0.4582172701949861,718,
3,-57.15,679.565673828125,0.4682080924855491,692,
4,-11.66,551.8023681640625,0.19825581395348837,1720,
5,9.93,35.0084228515625,0.5456730769230769,416,
1,-6.96,651.1268310546875,0.48153214774281805,731,
2,14.77,339.2736511230469,0.7650273224043715,366,
3,-12.01,596.8258666992188,0.7424242424242424,396,
4,-27.6,585.2875366210938,0.7447368421052631,380,
5,12.3,155.9969024658203,0.7261904761904762,336,
1,5.66,238.71463012695312,0.8052631578947368,190,
2,-7.11,421.2402648925781,0.75,280,
3,-10.01,541.50537109375,0.767515923566879,314,
4,-12.11,567.6954956054688,0.817258883248731,197,
5,21.53,61.10417938232422,0.66875,320,
1,-18.88,719.6863403320312,0.8666666666666667,195,
2,-38.5,729.2257080078125,0.6405867970660146,409,
3,-34.03,326.73150634765625,0.43350383631713557,782,
4,-155.27,704.5763549804688,0.1545966228893058,5330,
5,8.74,406.9354553222656,0.6683046683046683,407,
1,-39.04,424.81219482421875,0.2752203721841332,1021,
2,-42.26,552.5546264648438,0.5116279069767442,559,
3,-11.5,372.0046081542969,0.6287015945330297,439,
4,28.37,89.13124084472656,0.6342710997442456,391,
5,-21.66,769.781494140625,0.7243243243243244,370,
1,46.61,11.972908020019531,0.34139784946236557,372,
2,32.12,53.03589630126953,0.5782747603833865,313,
3,40.38,23.7592716217041,0.49854227405247814,343,
4,26.95,65.59349060058594,0.5432432432432432,370,
5,7.86,67.37616729736328,0.5958702064896755,339,
1,35.41,38.44013977050781,0.6111111111111112,360,
2,47.76,205.59381103515625,0.6503856041131105,389,
3,-46.18,867.93896484375,0.5743348982785602,639,
4,-8.22,671.1976928710938,0.7245370370370371,432,
5,-118.75,704.8374633789062,0.42053789731051344,818,
1,-51.97,689.1881713867188,0.46862745098039216,510,
2,17.95,309.8935852050781,0.36075949367088606,1264,
3,21.02,43.49173355102539,0.6055045871559633,327,
4,-14.28,373.9336853027344,0.71671388101983,353,
5,-264.34,780.796142578125,0.22389726409826913,1791,
1,18.55,20.18936538696289,0.5792880258899676,309,
2,-3.61,217.16754150390625,0.553639846743295,522,
3,-19.82,381.22088623046875,0.5129310344827587,464,
4,39.87,15.973361015319824,0.4714285714285714,350,
5,-9.98,198.06243896484375,0.4391592920353982,904,
1,27.42,29.52411651611328,0.6011730205278593,341,
2,-17.82,391.122314453125,0.5831873905429071,571,
3,-16.98,737.115478515625,0.5513016845329249,653,
4,16.06,628.7080078125,0.42105263157894735,608,
5,21.3,305.07470703125,0.5592105263157895,456,
1,37.13,66.92147064208984,0.6473829201101928,363,
2,4.62,254.9245147705078,0.5806451612903226,496,
3,2.38,243.80340576171875,0.7523510971786834,319,
4,20.79,300.4515380859375,0.46781789638932497,637,
5,0.69,536.7845458984375,0.7953216374269005,342,
1,-9.1,201.4642791748047,0.564870259481038,501,
2,22.65,50.52954864501953,0.6372549019607843,306,
3,8.27,489.18206787109375,0.5987654320987654,648,
4,-42.66,528.5942993164062,0.48909657320872274,642,
5,-30.18,296.7658996582031,0.6565874730021598,463,
1,3.23,514.062744140625,0.45300751879699247,532,
