intensity,readability,perplexity,lex_diversity,word_count,bleu
,29.69,15.920425415039062,0.7755102040816326,49,
,38.96,30.99393081665039,0.7605633802816901,71,
,77.74,4.660372257232666,0.2727272727272727,242,
,54.52,16.294540405273438,0.5921052631578947,152,
,65.73,8.78972339630127,0.6842105263157895,57,
,87.21,6.854581356048584,0.9473684210526315,19,
,44.88,15.967337608337402,0.5229885057471264,348,
,41.46,30.273120880126953,0.6434426229508197,244,
,92.02,8.433393478393555,0.42900302114803623,331,
,30.7,10.456628799438477,0.49809885931558934,263,
,35.31,20.836082458496094,0.6530612244897959,196,
,28.98,13.116389274597168,0.43487621097954793,929,
,42.72,36.017642974853516,0.4862068965517241,290,
,40.95,17.591262817382812,0.4869109947643979,191,
,-47.55,4.597269535064697,0.3447761194029851,670,
,70.84,12.669438362121582,0.45454545454545453,418,
,54.73,38.33875274658203,0.8285714285714286,35,
,50.87,15.884698867797852,0.6419753086419753,81,
,53.17,21.334646224975586,0.5567010309278351,194,
,100.24,48.574867248535156,1.0,5,
,75.27,6.367318630218506,0.9761904761904762,42,
,49.55,17.830690383911133,0.5780346820809249,173,
,47.93,17.879150390625,0.6357142857142857,140,
,58.11,19.797805786132812,0.5124282982791587,523,
,43.02,38.80411148071289,0.819672131147541,61,
,29.04,13.102840423583984,0.7058823529411765,85,
,61.63,10.874506950378418,0.575107296137339,233,
,28.88,18.854036331176758,0.7352941176470589,102,
,65.22,21.31017303466797,0.5710227272727273,352,
,60.31,15.695941925048828,0.8264462809917356,121,
,89.75,11.788336753845215,1.0,7,
,71.14,50.16108703613281,0.9411764705882353,17,
,43.73,17.531312942504883,0.95,20,
,75.5,46.99863815307617,0.9230769230769231,39,
,41.5,24.97389030456543,0.7209302325581395,129,
,81.29,25.55746841430664,1.0,7,
,89.75,11.788336753845215,1.0,7,
,45.86,22.176071166992188,0.6645161290322581,155,
,34.39,18.12261390686035,0.6198830409356725,171,
,89.75,11.788336753845215,1.0,7,
,48.81,67.42993927001953,0.9285714285714286,28,
,52.6,16.693937301635742,0.6094674556213018,169,
,54.93,24.49732208251953,0.6265060240963856,166,
,61.67,10.179126739501953,0.41420118343195267,169,
,81.29,15.849754333496094,1.0,7,
,87.21,70.30077362060547,0.95,20,
,55.74,29.553010940551758,0.9354838709677419,31,
,40.89,16.938507080078125,0.5379644588045234,619,
,121.22,,1.0,1,
,42.0,20.924894332885742,0.5393794749403341,419,
,99.57,95.50716400146484,0.7857142857142857,14,
,29.65,34.09577941894531,0.7380952380952381,84,
,70.33,14.899285316467285,0.4982078853046595,558,
,85.69,25.043724060058594,0.9583333333333334,24,
,12.77,12.342162132263184,0.76,50,
,52.19,63.202762603759766,1.0,19,
,68.57,15.21558666229248,0.5271317829457365,129,
,42.21,21.762094497680664,0.7804878048780488,41,
,48.54,13.022957801818848,0.5709090909090909,275,
,57.27,17.965383529663086,0.6964285714285714,56,
,-18.53,33.959564208984375,0.7575757575757576,99,
,71.95,16.440914154052734,0.48297213622291024,646,
,72.02,29.643712997436523,0.9375,32,
,54.56,15.757840156555176,0.6470588235294118,102,
,28.37,7.243283748626709,0.6075949367088608,158,
,71.1,101.33458709716797,0.71875,128,
,20.79,16.22206687927246,0.4628099173553719,363,
,48.54,8.141973495483398,0.6,115,
,46.44,142.95428466796875,1.0,17,
,50.67,6.467940807342529,0.5,240,
,39.94,50.63628005981445,0.7848101265822784,79,
,25.39,12.823532104492188,0.4549483013293944,677,
,69.11,23.05097198486328,1.0,19,
,-52.15,13.926445007324219,0.5204081632653061,98,
,2.24,7.336841106414795,0.43772893772893773,546,
,89.08,15.793586730957031,0.7391304347826086,23,
,56.76,14.139429092407227,0.55859375,256,
,66.2,7.080517768859863,0.8157894736842105,684,
,71.55,10.299355506896973,0.5389221556886228,334,
,-4.26,12.96883773803711,0.51,300,
,39.33,11.807024955749512,0.4759825327510917,458,
,21.36,5.955210208892822,0.47368421052631576,380,
,39.97,23.83826446533203,0.603125,320,
,35.98,31.858232498168945,0.5179153094462541,307,
,37.2,17.239458084106445,0.6012658227848101,158,
,34.63,28.340744018554688,0.8333333333333334,48,
,-0.51,22.14794921875,0.6549707602339181,171,
,42.72,32.82229995727539,0.7710843373493976,83,
,51.68,22.153209686279297,0.5223642172523961,626,
,58.42,16.854158401489258,0.5714285714285714,301,
,79.77,77.28046417236328,0.9411764705882353,17,
,27.32,10.41098690032959,0.547112462006079,329,
,44.85,17.556690216064453,0.4982456140350877,570,
,30.7,13.563741683959961,0.48847926267281105,434,
,22.55,11.309690475463867,0.46530612244897956,490,
,83.66,10.737303733825684,0.8888888888888888,27,
,21.09,40.853904724121094,0.8367346938775511,49,
,51.18,14.793524742126465,0.68,125,
,37.2,9.736078262329102,0.5561959654178674,347,
,67.04,18.361492156982422,0.5389221556886228,501,
,43.12,11.378743171691895,0.5329949238578681,197,
,67.65,19.906003952026367,0.5722433460076045,526,
,47.79,17.965246200561523,0.5873925501432665,349,
,75.71,39.259639739990234,0.8148148148148148,27,
,45.25,41.6660041809082,0.9142857142857143,35,
,52.6,29.939922332763672,0.5581896551724138,464,
,53.1,16.852731704711914,0.43448275862068964,290,
,54.63,12.5816650390625,0.5042372881355932,236,
,58.69,18.238645553588867,0.5184466019417475,515,
,72.83,88.21666717529297,0.9333333333333333,15,
,45.46,11.426366806030273,0.5106382978723404,423,
,36.79,30.029956817626953,0.8450704225352113,71,
,42.21,11.527406692504883,0.44493392070484583,227,
,60.24,14.164332389831543,0.4991304347826087,575,
,59.03,8.426037788391113,0.4700460829493088,434,
,40.18,11.830827713012695,0.5275590551181102,254,
,13.17,20.243330001831055,0.5046210720887245,541,
,46.27,51.934513092041016,0.8857142857142857,35,
,-73.94,6.08537483215332,0.4576923076923077,520,
,67.15,6.818576335906982,0.5,178,
,23.87,12.289895057678223,0.509493670886076,316,
,-27.53,16.197702407836914,0.5231788079470199,453,
,-43.74,16.49110221862793,0.5462184873949579,357,
,53.0,12.582169532775879,0.5660377358490566,371,
,44.85,15.2020902633667,0.625531914893617,235,
,49.48,71.93740844726562,0.72,25,
,46.47,27.246061325073242,0.78,50,
,89.75,11.788336753845215,1.0,7,
,82.1,46.36211013793945,0.8347826086956521,115,
,52.16,16.438060760498047,0.5045871559633027,109,
,67.76,60.082115173339844,0.92,25,
,49.86,27.084978103637695,0.84375,64,
,10.64,16.651851654052734,0.6268656716417911,268,
,36.28,29.361448287963867,0.8703703703703703,54,
,37.1,12.606061935424805,0.8255813953488372,86,
,47.01,16.65452766418457,0.6102564102564103,195,
,24.61,43.13240432739258,0.85,60,
,48.33,21.111482620239258,0.6982758620689655,116,
,60.95,8.855464935302734,0.49760765550239233,418,
,76.82,17.43551254272461,0.5468409586056645,459,
,70.84,36.142478942871094,0.8378378378378378,74,
,62.68,50.61618423461914,0.8857142857142857,35,
,76.82,31.439409255981445,0.8433734939759037,83,
,78.96,11.515713691711426,0.5172413793103449,435,
,65.12,11.406307220458984,0.5090361445783133,332,
,12.16,8.494050025939941,0.4248927038626609,233,
,46.78,12.84186840057373,0.4861111111111111,144,
,6.64,19.90892791748047,0.58,500,
,55.13,24.581613540649414,0.4782608695652174,138,
,51.89,10.210680961608887,0.509090909090909,440,
,5.69,16.414609909057617,0.573170731707317,82,
,17.13,8.362354278564453,0.2394904458598726,785,
,49.04,10.975029945373535,0.38636363636363635,176,
,24.98,11.185417175292969,0.5694444444444444,216,
,33.85,27.974092483520508,0.6754385964912281,114,
,21.94,17.199508666992188,0.4765957446808511,235,
,41.7,10.651700973510742,0.47435897435897434,234,
,7.82,6.777387619018555,0.27313769751693,886,
,59.64,8.490107536315918,0.5153846153846153,130,
,22.04,8.561527252197266,0.5512820512820513,156,
,-48.66,16.111244201660156,0.6166666666666667,60,
,15.0,13.781094551086426,0.4624624624624625,333,
,30.16,15.94149112701416,0.5263157894736842,114,
,62.64,47.89876937866211,0.8333333333333334,36,
,56.25,38.508331298828125,0.7272727272727273,55,
,59.13,9.052755355834961,0.44,250,
,47.12,7.5388102531433105,0.3771106941838649,533,
,18.28,7.733512878417969,0.437984496124031,258,
,-40.87,11.380083084106445,0.44954128440366975,109,
,53.81,13.67972183227539,0.4612903225806452,310,
,14.97,79.84303283691406,0.8518518518518519,27,
,45.93,99.5095443725586,0.8846153846153846,26,
,34.46,7.2488837242126465,0.23273657289002558,782,
,-129.36,6.868165493011475,0.4387755102040816,294,
,41.8,5.887160301208496,0.4124293785310734,354,
,25.59,14.33406925201416,0.46078431372549017,306,
,36.83,8.334221839904785,0.409375,320,
,63.05,14.644783020019531,0.47474747474747475,99,
,42.41,18.072729110717773,0.5777777777777777,135,
,33.75,13.962849617004395,0.47107438016528924,242,
,3.5,7.05753755569458,0.444015444015444,259,
,39.37,6.79962682723999,0.36731107205623903,569,
