intensity,readability,perplexity,lex_diversity,word_count,bleu
5,-96.37,448.25634765625,0.634469696969697,528,
1,11.38,396.5833740234375,0.6736842105263158,380,
2,29.59,35.78934860229492,0.5472636815920398,402,
3,-28.15,344.21063232421875,0.8326359832635983,239,
4,-47.29,813.9465942382812,0.7146739130434783,368,
5,14.7,336.1820068359375,0.7704402515723271,318,
1,30.91,47.463401794433594,0.5384615384615384,377,
2,14.9,253.3687286376953,0.4873417721518987,474,
3,19.74,75.03563690185547,0.5462184873949579,357,
4,38.86,90.20305633544922,0.6078431372549019,408,
5,27.22,38.60103225708008,0.6767123287671233,365,
1,-9.63,609.1781616210938,0.28633217993079585,1156,
2,28.4,312.29150390625,0.693950177935943,281,
3,56.97,412.2416687011719,0.5990783410138248,434,
4,18.87,403.9473571777344,0.3819951338199513,822,
5,-135.86,494.30426025390625,0.08691997310020175,5948,
1,-47.84,583.7362060546875,0.4459665144596651,657,
2,-137.62,563.32275390625,0.3120772946859903,1035,
3,-60.97,689.988525390625,0.4692737430167598,537,
4,-64.48,769.5657348632812,0.44371584699453553,915,
5,3.51,427.8642272949219,0.4219269102990033,602,
1,26.64,184.03378295898438,0.6774193548387096,279,
2,-3.2,352.38543701171875,0.2335243553008596,1396,
3,-16.43,435.6532287597656,0.3764404609475032,781,
4,27.52,21.084218978881836,0.5621301775147929,338,
5,-30.03,740.462158203125,0.3469591226321037,1003,
1,-2.7,682.9095458984375,0.44157608695652173,736,
2,-79.4,826.174072265625,0.3695395513577332,847,
3,-57.38,839.62109375,0.67590618336887,469,
4,-21.24,610.6544189453125,0.6985138004246284,471,
5,-19.95,646.3185424804688,0.22886133032694475,1774,
1,28.64,463.55743408203125,0.5812395309882747,597,
2,-12.18,322.6454772949219,0.43137254901960786,1275,
3,38.25,349.5563049316406,0.42714285714285716,700,
4,-36.12,412.1933288574219,0.2541636495293266,1381,
5,6.72,505.22900390625,0.5454545454545454,517,
1,8.74,322.72454833984375,0.760797342192691,301,
2,18.42,363.2618713378906,0.6278481012658228,395,
3,17.57,99.88829803466797,0.7380191693290735,313,
4,-17.35,622.8603515625,0.6746506986027944,501,
5,2.72,342.9026794433594,0.7275362318840579,345,
1,-5.31,310.7664794921875,0.7335243553008596,349,
2,8.47,473.2476501464844,0.6739811912225705,319,
3,-11.3,627.3331909179688,0.6681922196796338,437,
4,43.23,536.5834350585938,0.4816849816849817,546,
5,38.09,722.86181640625,0.4507042253521127,639,
1,20.21,33.506622314453125,0.5476190476190477,336,
2,15.88,225.68276977539062,0.7148148148148148,270,
3,-15.49,431.69403076171875,0.6004056795131846,493,
4,1.84,694.7542114257812,0.5426195426195426,481,
5,-120.57,746.2098999023438,0.15314787701317717,3415,
1,4.24,916.7345581054688,0.6654804270462633,281,
2,-32.65,522.0861206054688,0.8408304498269896,289,
3,18.08,35.04948806762695,0.6033057851239669,363,
4,-85.61,508.5415344238281,0.4612590799031477,1652,
5,-33.39,778.708740234375,0.7775510204081633,490,
1,-77.31,490.2171936035156,0.5077160493827161,648,
2,17.2,482.3062744140625,0.6706231454005934,337,
3,-20.22,589.1746826171875,0.5679513184584178,493,
4,-4.13,254.16590881347656,0.7406015037593985,266,
5,-37.08,464.83660888671875,0.7238372093023255,344,
1,-8.68,551.5180053710938,0.5157593123209169,349,
2,-25.44,532.3046264648438,0.6561922365988909,541,
3,-0.19,471.5939636230469,0.47881899871630296,779,
4,-8.79,614.8237915039062,0.38390092879256965,969,
5,7.32,184.22537231445312,0.7204610951008645,347,
1,-15.49,419.2362060546875,0.7420382165605095,314,
2,34.29,334.7090148925781,0.7374517374517374,259,
3,22.08,183.3947296142578,0.717687074829932,294,
4,7.39,154.7295684814453,0.6885245901639344,366,
5,5.88,446.0408020019531,0.602760736196319,652,
1,13.28,623.4772338867188,0.43602693602693604,594,
2,-93.34,588.1206665039062,0.18741573033707865,2225,
3,9.56,293.39337158203125,0.7713310580204779,293,
4,-114.62,744.0897216796875,0.4227871939736347,1062,
5,-48.54,719.060302734375,0.366325369738339,879,
1,34.33,194.97447204589844,0.5963060686015831,379,
2,17.71,326.3357238769531,0.6265356265356266,407,
3,42.11,238.8058319091797,0.6353591160220995,362,
4,-13.19,527.0989990234375,0.7186440677966102,295,
5,17.72,425.4039001464844,0.672972972972973,370,
1,46.03,20.491119384765625,0.5013623978201635,367,
2,27.96,141.01266479492188,0.6524064171122995,374,
3,23.09,414.0507507324219,0.63718820861678,441,
