intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
4,31.198872239747654,582.5280151367188,0.6590257879656161,bad,good,bad
5,34.88680019449436,201.421142578125,0.6309341500765697,good,good,good
1,11.031538461538474,279.3342590332031,0.5588235294117647,bad,good,good
2,24.71696963394345,634.0098876953125,0.5866477272727273,bad,good,bad
3,56.54522849462367,426.8498229980469,0.5821678321678322,good,good,bad
4,73.64419863122714,21.636585235595703,0.1979458450046685,good,bad,good
5,50.55029252760053,406.7748107910156,0.4431137724550898,good,bad,bad
1,71.87721535401768,435.5853271484375,0.1237677984665936,good,bad,bad
2,30.29354590856704,304.82257080078125,0.6295503211991434,bad,good,good
3,25.77137867647062,364.7540588378906,0.6437125748502994,bad,good,good
4,18.999459459459477,399.99810791015625,0.7007672634271099,bad,good,bad
5,78.4974589789432,124.03547668457033,0.2034498009730208,good,bad,good
1,44.0546153846154,374.7569274902344,0.656891495601173,good,good,good
2,81.61094010705503,171.11500549316406,0.0882822709452591,good,bad,good
3,52.56816789215689,266.7797546386719,0.5787401574803149,good,good,good
4,30.34590909090912,501.918701171875,0.6694214876033058,bad,good,bad
5,55.65096828046745,296.75811767578125,0.6071428571428571,good,good,good
1,28.8198607427056,140.42259216308594,0.5553571428571429,bad,good,good
2,46.40184275184277,516.16552734375,0.5932914046121593,good,good,bad
3,60.17492196531797,289.6620788574219,0.5583524027459954,good,good,good
4,34.25448412698415,18.55571937561035,0.508235294117647,good,bad,good
5,43.80533052297167,240.15272521972656,0.5392781316348195,good,good,good
1,46.65216346153849,24.988433837890625,0.5272108843537415,good,good,good
2,36.63954545454547,413.4369812011719,0.7181467181467182,good,good,bad
3,38.76557518796992,91.48367309570312,0.6335403726708074,good,good,good
4,26.349675824175847,412.9808654785156,0.7152317880794702,bad,good,bad
5,60.30045454545456,284.429931640625,0.3641618497109826,good,bad,good
1,3.3430398457583976,230.30972290039065,0.5911949685534591,bad,good,good
2,-0.6678461538461136,369.2767028808594,0.6444444444444445,bad,good,good
3,1.4844919495213844,145.1339111328125,0.6506024096385542,bad,good,good
4,5.595476190476234,218.5587615966797,0.6507177033492823,bad,good,good
5,42.53496062992127,455.2940979003906,0.6,good,good,bad
1,35.41073487712666,427.8711853027344,0.6107491856677525,good,good,bad
2,15.990734542073485,150.93719482421875,0.7870722433460076,bad,good,good
3,-9.369773606811124,354.2453918457031,0.712,bad,good,good
4,45.950990806945896,706.8976440429688,0.7468354430379747,good,good,bad
5,43.145950292397686,386.1420593261719,0.7026239067055393,good,good,good
1,11.009751066856351,201.72555541992188,0.6436285097192225,bad,good,good
2,18.10324069028158,81.86540985107422,0.5842956120092379,bad,good,good
3,45.20684981684983,516.7696533203125,0.6452830188679245,good,good,bad
4,26.88118496538084,453.6470947265625,0.6977886977886978,bad,good,bad
5,45.95046511627911,256.1061096191406,0.5578358208955224,good,good,good
1,26.296450933172792,320.9551086425781,0.7150997150997151,bad,good,good
2,37.80335808109655,439.4607543945313,0.6694214876033058,good,good,bad
3,20.40802674438541,244.6373291015625,0.728021978021978,bad,good,good
4,39.42301161393675,289.0035705566406,0.6125461254612546,good,good,good
5,30.293252032520343,82.22944641113281,0.5871794871794872,bad,good,good
1,30.334552511415552,33.88410949707031,0.5619335347432024,bad,good,good
2,37.17845154845156,21.839805603027344,0.5239852398523985,good,good,good
3,38.72161764705885,20.52128028869629,0.5609756097560976,good,good,good
4,22.65162037037038,39.64949798583984,0.6115107913669064,bad,good,good
5,34.31411764705885,41.7608528137207,0.6133333333333333,good,good,good
1,-5.892055155210613,426.1101989746094,0.6766467065868264,bad,good,bad
2,14.357096774193565,421.6051940917969,0.6225806451612903,bad,good,bad
3,3.776331168831206,493.17486572265625,0.7432835820895523,bad,good,bad
4,70.5435483870968,19.666358947753903,0.516260162601626,good,bad,good
5,29.90678861788618,280.95367431640625,0.6205450733752621,bad,good,good
1,38.6178225806452,30.63007926940918,0.5698924731182796,good,good,good
2,55.75952180704076,38.36943435668945,0.3310344827586207,good,bad,good
3,32.271986531986585,171.80807495117188,0.6726618705035972,bad,good,good
4,51.37050366300369,19.243072509765625,0.4631901840490797,good,bad,good
5,32.21600064766841,321.8656311035156,0.6990950226244343,bad,good,good
1,71.96576271186443,337.2682189941406,0.4941808415398389,good,bad,good
2,55.16095884215288,301.9013061523437,0.5138539042821159,good,bad,good
