intensity,readability,perplexity,lex_diversity,readability_label,lex_diversity_label,perplexity_label
2,49.54807692307696,262.6096496582031,0.6807817589576547,good,good,good
3,60.8049663332051,309.4140014648437,0.524966261808367,good,good,good
4,41.344141552511445,592.7367553710938,0.713091922005571,good,good,bad
5,55.01339303482587,106.17383575439452,0.5918674698795181,good,good,good
1,-3.565576923076918,58.580543518066406,0.665680473372781,bad,good,good
2,64.01444090677538,339.5361633300781,0.152510849349039,good,bad,good
3,61.336196679480935,192.1546173095703,0.3649789029535865,good,bad,good
4,46.35189987163034,251.28912353515625,0.6539379474940334,good,good,good
5,42.73518287544246,355.0894775390625,0.6072351421188631,good,good,good
1,33.35901738290684,414.1360473632813,0.6719367588932806,bad,good,good
2,57.16418466961949,379.6899108886719,0.4543454345434543,good,bad,good
3,37.53027677929549,20.95516967773437,0.628482972136223,good,good,good
4,66.82760914760917,550.952392578125,0.6388888888888888,good,good,bad
5,36.89860760971058,459.201416015625,0.5529411764705883,good,good,bad
1,42.29898148148149,20.468698501586918,0.5428571428571428,good,good,good
2,48.98151542649728,20.98704719543457,0.4702380952380952,good,bad,good
3,64.10077986725665,246.72799682617188,0.647887323943662,good,good,good
4,64.85140507124896,158.6511993408203,0.3249329758713137,good,bad,good
5,51.43333333333334,56.62417984008789,0.5242165242165242,good,good,good
1,28.16025598086128,51.1611213684082,0.6176470588235294,bad,good,good
2,24.020588235294127,23.818523406982425,0.544,bad,good,good
3,66.22846153846156,32.261024475097656,0.5578512396694215,good,good,good
4,49.44103325643985,215.1471405029297,0.627906976744186,good,good,good
5,75.71063198458576,349.7156982421875,0.3275434243176178,good,bad,good
1,55.84131779984722,332.2753601074219,0.7598566308243727,good,good,good
2,62.32038166070103,100.940673828125,0.2429995253915519,good,bad,good
3,20.298741258741305,239.23733520507807,0.7383720930232558,bad,good,good
4,53.6833344370861,20.17998695373535,0.6022099447513812,good,good,good
5,85.07343580941664,389.3164978027344,0.1329227610982807,good,bad,good
1,11.154033371691613,352.91143798828125,0.6840659340659341,bad,good,good
2,0.5183653846154073,310.433837890625,0.6739606126914661,bad,good,good
3,24.3039285714286,45.154258728027344,0.6143667296786389,bad,good,good
4,22.016826415094386,519.1846923828125,0.6812749003984063,bad,good,bad
5,38.86763354037268,256.6612548828125,0.6544117647058824,good,good,good
1,49.04528708133972,22.380613327026367,0.5789473684210527,good,good,good
2,49.478125000000006,22.55305290222168,0.5574324324324325,good,good,good
3,45.753961820851714,37.55333709716797,0.5650557620817844,good,good,good
4,47.0021757075472,44.61600112915039,0.5846645367412141,good,good,good
5,38.27240566037736,575.5780029296875,0.7533039647577092,good,good,bad
1,56.14446758481694,259.9187316894531,0.4536423841059602,good,bad,good
2,63.45884032114185,497.2029113769531,0.6215538847117794,good,good,bad
3,45.733265573770495,392.5486755371094,0.6418439716312057,good,good,good
4,71.4612282485876,157.66281127929688,0.3923404255319149,good,bad,good
5,69.6749404761905,498.554931640625,0.6174757281553398,good,good,bad
1,87.96699248120302,250.1459808349609,0.3338473400154202,good,bad,good
2,14.867500000000035,329.106689453125,0.717391304347826,bad,good,good
3,101.0447258948832,328.7307434082031,0.1144499178981937,good,bad,good
4,61.52364864864866,343.48394775390625,0.588469184890656,good,good,good
5,53.35432692307694,449.7840270996094,0.6345514950166113,good,good,bad
1,46.95319711538463,575.9755859375,0.6861702127659575,good,good,bad
2,53.634506880733966,332.7226257324219,0.6453488372093024,good,good,good
3,68.99614900959675,329.92169189453125,0.4119205298013245,good,bad,good
4,52.59766666666668,347.58056640625,0.6790393013100436,good,good,good
5,68.01464065708421,455.5622863769531,0.614065180102916,good,good,bad
